Date,de,uk,it,es,tr,ie,pt,gr,hu,maxtrsh,mintrsh
2017-07-13,30.14,44.87,47.67,37.76,19.75,17.35,18.36,32.79,22.25,40.20,35.20
2017-07-14,43.48,52.07,61.54,43.94,23.51,15.08,15.28,37.77,28.58,40.20,35.20
2017-07-15,37.02,53.16,49.70,45.07,13.72,21.25,23.00,31.51,24.17,40.20,35.20
2017-07-16,37.27,37.22,48.69,44.58,19.04,16.86,22.59,34.61,29.43,40.20,35.20
2017-07-17,24.82,40.05,34.25,30.86,29.57,17.88,16.03,33.61,22.73,40.20,35.20
2017-07-18,30.09,37.61,46.80,15.03,12.83,12.66,24.01,32.00,25.21,40.20,35.20
2017-07-19,28.89,51.64,09.90,25.79,26.48,23.33,24.89,34.07,24.45,40.20,35.20
2017-07-20,24.32,45.73,39.83,30.56,14.13,-----,25.59,34.28,18.73,40.20,35.20
2017-07-21,18.46,38.19,54.01,20.37,17.42,11.65,25.46,36.19,21.91,40.20,35.20
2017-07-22,34.90,34.72,41.63,30.25,19.43,19.21,46.85,34.57,21.12,40.20,35.20
2017-07-23,24.96,53.19,47.18,35.58,20.89,17.61,40.53,28.92,21.19,40.20,35.20
2017-07-24,31.86,56.81,35.92,41.94,17.26,10.93,42.86,21.86,18.53,40.20,35.20
2017-07-25,31.41,42.18,33.05,42.52,20.69,16.29,26.52,22.56,21.98,40.20,35.20
2017-07-26,33.89,53.05,48.31,33.35,-----,13.13,33.96,34.56,23.26,40.20,35.20
2017-07-27,31.07,62.33,44.66,40.92,-----,28.71,35.80,36.73,21.38,40.20,35.20
2017-07-28,19.86,39.29,48.07,54.13,07.97,31.88,32.84,39.99,21.22,40.20,35.20
2017-07-29,43.17,56.26,45.10,40.77,14.69,31.21,47.33,38.62,22.07,40.20,35.20
2017-07-30,43.51,57.65,39.50,36.19,18.96,28.37,44.00,32.83,24.03,40.20,35.20
2017-07-31,33.89,57.05,40.15,50.06,17.48,18.83,33.25,30.70,21.13,40.20,35.20
2017-08-01,32.57,54.67,37.79,46.29,19.46,22.86,32.21,46.96,35.59,40.20,35.20
2017-08-02,40.62,46.48,33.25,37.19,20.86,22.35,23.31,37.74,34.50,40.20,35.20
2017-08-03,31.22,48.50,45.88,31.68,20.49,25.29,33.95,43.18,40.92,40.20,35.20
2017-08-04,42.29,46.01,37.52,38.65,22.39,28.98,35.34,39.56,40.75,40.20,35.20
2017-08-05,30.32,52.91,46.50,42.85,24.26,33.94,37.38,52.53,46.48,40.20,35.20
2017-08-06,22.76,55.45,44.96,37.44,21.79,30.27,36.22,43.13,42.40,40.20,35.20
2017-08-07,40.37,56.67,35.51,24.39,30.85,33.25,38.65,50.44,35.30,40.20,35.20
2017-08-08,30.96,40.67,53.89,38.68,25.57,29.21,34.68,29.81,39.42,40.20,35.20
2017-08-09,32.11,51.72,40.48,35.30,19.30,31.48,29.18,40.79,45.52,40.20,35.20
2017-08-10,32.44,42.24,37.22,43.70,22.91,29.56,39.49,36.41,34.66,40.20,35.20
2017-08-11,38.77,46.36,45.01,39.28,39.87,34.98,44.55,39.11,46.41,40.20,35.20
2017-08-12,36.26,48.82,47.24,32.94,40.14,34.61,32.52,36.62,39.82,40.20,35.20
2017-08-13,32.92,46.89,46.09,44.11,24.93,28.01,31.57,46.68,42.20,40.20,35.20
2017-08-14,30.99,51.46,44.39,29.86,32.87,35.52,32.73,48.82,34.05,40.20,35.20
2017-08-15,31.40,40.40,40.90,35.50,24.10,30.90,28.00,41.40,42.40,40.20,35.20
2017-08-16,40.28,40.07,51.60,40.64,19.37,27.77,28.02,40.51,44.36,40.20,35.20
2017-08-17,23.04,30.03,33.06,30.13,04.82,-----,11.08,28.21,24.05,40.20,35.20
2017-08-18,22.54,29.28,31.24,28.56,14.92,18.52,17.29,20.74,26.17,40.20,35.20
2017-08-19,66.55,34.50,46.33,49.50,31.50,69.49,45.75,31.36,40.20,40.20,35.20
2017-08-20,28.38,37.09,32.72,36.95,11.56,23.37,20.97,33.11,30.71,40.20,35.20
2017-08-21,72.02,54.43,64.27,54.15,46.51,44.46,37.29,45.23,57.90,40.20,35.20
2017-08-22,19.84,33.29,29.43,28.73,15.46,17.86,19.14,31.52,32.17,40.20,35.20
